50000;5;5
50001;5;3v
50002;5;3x
50003;5;3
50004;5;1x
50005;5;3c
50006;5;1T 10
50007;5;1T 7
50008;5;Idol 5s
50009;5;Idol 5
50010;5;A7 XL
50011;5;A7
50012;5;U5 HD
50013;5;Pulsemix
50014;5;Idol 5s (USA)
50015;5;Flash (2017)
50016;5;U5
50017;5;A5 LED
50018;5;A3
50019;5;A3 XL
50020;5;Shine Lite
50021;5;Pixi 4 Plus Power
50022;5;Fierce 4
50023;5;X1
50024;5;Pixi 4 (5)
50025;5;Flash Plus 2
50026;5;POP 7 LTE
50027;5;Pop 4S
50028;5;Pop 4+
50029;5;Pop 4
50030;5;Idol 4s Windows
50031;5;Idol 4s
50032;5;Idol 4
50033;5;Fierce XL (Windows)
50034;5;CareTime
50035;5;Pixi 4 (7)
50036;5;Pixi 4 (6) 3G
50037;5;Pixi 4 (6)
50038;5;Pixi 4 (4)
50039;5;Pixi 4 (3.5)
50040;5;Pixi 3 (8) LTE
50041;5;Pop 3 (5.5)
50042;5;Pop 3 (5)
50043;5;Fierce XL
50044;5;Watch
50045;5;GO Watch
50046;5;Flash 2
50047;5;10.16G
50048;5;2007
50049;5;Idol 3C
50050;5;Pixi 3 (10)
50051;5;Pixi First
50052;5;Pop Up
50053;5;Pop Star LTE
50054;5;Pop Star
50055;5;Go Play
50056;5;Flash Plus
50057;5;Pop Astro
50058;5;Flash
50059;5;Idol 3 (5.5)
50060;5;Idol 3 (4.7)
50061;5;Orange Klif
50062;5;Pixi 3 (5.5) LTE
50063;5;Pixi 3 (5.5)
50064;5;Pixi 3 (8) 3G
50065;5;Pixi 3 (7) LTE
50066;5;Pixi 3 (7) 3G
50067;5;Pixi 3 (7)
50068;5;POP 10
50069;5;Pixi 3 (5)
50070;5;Pixi 3 (4.5)
50071;5;Pixi 3 (4)
50072;5;Pixi 3 (3.5) Firefox
50073;5;Pixi 3 (3.5)
50074;5;Pop D3
50075;5;Pop D1
50076;5;Pop Icon
50077;5;Fire C 2G
50078;5;Pop 2 (5) Premium
50079;5;Pop 2 (5)
50080;5;Pop 2 (4)
50081;5;Pop 2 (4.5) Dual SIM
50082;5;Pop 2 (4.5)
50083;5;Fierce 2
50084;5;Evolve 2
50085;5;POP 8S
50086;5;Hero 8
50087;5;Hero 2
50088;5;Pixi 2
50089;5;Pop D5
50090;5;Pop C2
50091;5;Pixi 8
50092;5;2012
50093;5;2010
50094;5;2052
50095;5;2040
50096;5;2005
50097;5;POP 7S
50098;5;Pixi 7
50099;5;Pop S9
50100;4;Moto Z3 Play
50101;4;Moto E5 Play
50102;4;Moto E5 Plus
50103;4;Moto E5
50104;4;Moto G6 Play
50105;4;Moto G6 Plus
50106;4;Moto G6
50107;4;Moto X4
50108;4;Moto G5S Plus
50109;4;Moto G5S
50110;4;Moto Z2 Force
50111;4;Moto E4 Plus
50112;4;Moto E4 Plus (USA)
50113;4;Moto E4
50114;4;Moto E4 (USA)
50115;4;Moto Z2 Play
50116;4;Moto C Plus
50117;4;Moto C
50118;4;Moto G5 Plus
50119;4;Moto G5
50120;4;Moto M
50121;4;Moto E3 Power
50122;4;Moto Z Play
50123;4;Moto E3
50124;4;Moto Z Force
50125;4;Moto Z
